"Date","Way","Base amount","Base currency (name)","Base type","Quote amount","Quote currency","Exchange","Sent/Received from","Sent to","Fee amount","Fee currency (name)","Broker","Notes","Sync Base Holding","Leverage Metadata"
"2020-08-28T16:38:00.000Z","BUY",0.31938677,"AMAT (Applied Materials Inc)","STOCK",19.9999995374,"USD","Nasdaq",,,,,"Revolut",,false,
"2020-09-03T19:57:00.000Z","BUY",0.06681908,"TSLA (Tesla Inc)","STOCK",27.1773244084,"USD","Nasdaq",,,,,"Revolut",,false,
"2020-09-04T17:22:00.000Z","BUY",0.21402319,"DOCU (Docusign Inc)","STOCK",44.8464192326,"USD","Nasdaq",,,,,"Recolut",,false,
"2020-09-08T19:28:00.000Z","BUY",0.14680656,"TSLA (Tesla Inc)","STOCK",49.8246783984,"USD","Nasdaq",,,,,"Revolut",,false,
"2020-09-16T13:31:00.000Z","BUY",0.19699779,"TWLO (Twilio Inc)","STOCK",44.71849833,"USD","New York Stock Exchange",,,,,"Revolut",,false,
"2020-09-23T19:09:00.000Z","BUY",0.11406311,"TSLA (Tesla Inc)","STOCK",43.2162311168,"USD","Nasdaq",,,,,"Revolut",,false,
"2020-10-23T13:39:00.000Z","BUY",0.36074766,"INTC (Intel Corp)","STOCK",17.3663923524,"USD","Nasdaq",,,,,"Recolut",,false,
"2020-11-19T15:58:00.000Z","SELL",0.01976753,"TSLA (Tesla Inc)","STOCK",9.998416674,"USD","Nasdaq",,,0.01,"USD","Revolut",,false,
"2020-11-19T16:01:00.000Z","SELL",0.14521452,"AMAT (Applied Materials Inc)","STOCK",10.99999989,"USD","Nasdaq",,,,,"Revolut",,false,
"2020-11-24T14:32:00.000Z","SELL",0.02216926,"TSLA (Tesla Inc)","STOCK",12.0037675196,"USD","Nasdaq",,,0.01,"USD","Revolut",,false,
"2020-12-21T14:35:00.000Z","SELL",0.07118331,"XYZ (Block Inc)","STOCK",17.0085400914,"USD","New York Stock Exchange",,,0.01,"USD","Revolut",,false,
"2020-12-21T14:40:00.000Z","BUY",3.89454763,"NKLA (Nikola Corp)","STOCK",65.1557818499,"USD","Nasdaq",,,,,"Revolut",,false,
"2020-12-21T14:49:00.000Z","BUY",0.61108686,"NIO (NIO Inc)","STOCK",28.0061107938,"USD","New York Stock Exchange",,,,,"Revolut",,false,
"2020-12-21T14:54:00.000Z","BUY",0.08084074,"SNOW (Snowflake Inc)","STOCK",27.00080716,"USD","New York Stock Exchange",,,,,"Revolut",,false,
"2020-12-22T14:34:00.000Z","BUY",1.03956107,"PLUG (Plug Power Inc)","STOCK",35.9896042434,"USD","Nasdaq",,,,,"Revolut",,false,
"2020-12-22T14:34:00.000Z","BUY",0.08733836,"ZM (Zoom Communications Inc)","STOCK",36.0279468836,"USD","Nasdaq",,,,,"Revolut",,false,
"2020-12-22T14:47:00.000Z","BUY",2.65251989,"NKLA (Nikola Corp)","STOCK",40.0265251401,"USD","Nasdaq",,,,,"Revolut",,false,
"2020-12-23T14:50:00.000Z","BUY",0.05247415,"ZM (Zoom Communications Inc)","STOCK",20.036729436,"USD","Nasdaq",,,,,"Revolut",,false,
"2020-12-23T14:52:00.000Z","BUY",0.53602058,"INTC (Intel Corp)","STOCK",25.005360057,"USD","Nasdaq",,,,,"Revolut",,false,
"2021-01-05T14:33:00.000Z","BUY",1.01105845,"PLUG (Plug Power Inc)","STOCK",32.0606634495,"USD","Nasdaq",,,,,"Revolut",,false,
"2021-01-06T18:28:00.000Z","BUY",0.10978555,"SNOW (Snowflake Inc)","STOCK",30.0142715145,"USD","New York Stock Exchange",,,,,"Recolut",,false,
"2021-01-06T18:33:00.000Z","BUY",0.04953428,"ZM (Zoom Communications Inc)","STOCK",17.393962422,"USD","Nasdaq",,,,,"Revolut",,false,
"2021-01-06T18:33:00.000Z","SELL",0.13221683,"AMAT (Applied Materials Inc)","STOCK",11.9999994908,"USD","Nasdaq",,,,,"Revolut",,false,
"2021-02-08T14:33:00.000Z","SELL",0.54324206,"DIS (Walt Disney Co/The)","STOCK",99.8859175722,"USD","New York Stock Exchange",,,0.01,"USD","Revolut",,false,
"2021-02-08T14:35:00.000Z","SELL",0.3622605,"XYZ (Block Inc)","STOCK",90.17388366,"USD","New York Stock Exchange",,,0.01,"USD","Revolut",,false,
"2021-02-16T17:29:00.000Z","BUY",0.0499875,"TSLA (Tesla Inc)","STOCK",40.014493875,"USD","Nasdaq",,,,,"Revolut",,false,
"2021-02-22T15:49:00.000Z","BUY",0.05369487,"TSLA (Tesla Inc)","STOCK",39.9747568176,"USD","Nasdaq",,,,,"Revolut",,false,
"2021-02-22T20:33:00.000Z","BUY",0.05539859,"TSLA (Tesla Inc)","STOCK",40.0110776416,"USD","Nasdaq",,,,,"Revolut",,false,
