"Date","Way","Base amount","Base currency (name)","Base type","Quote amount","Quote currency","Exchange","Sent/Received from","Sent to","Fee amount","Fee currency (name)","Broker","Notes","Sync Base Holding","Leverage Metadata"
"2024-12-10T16:39:00.000Z","BUY",0.0925,"BRK-B (Berkshire Hathaway Inc)","STOCK",42.972725,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2024-12-12T14:55:00.000Z","BUY",5,"IONQ (IonQ Inc)","STOCK",152,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2024-12-30T15:35:00.000Z","BUY",1,"TSLA (Tesla Inc)","STOCK",419.12,"USD","Nasdaq",,,,,"XTB",,false,
"2025-01-02T15:32:00.000Z","BUY",1,"TSLA (Tesla Inc)","STOCK",378.44,"USD","Nasdaq",,,,,"XTB",,false,
"2025-01-08T17:05:00.000Z","BUY",5,"IONQ (IonQ Inc)","STOCK",139.75,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2025-01-10T18:07:00.000Z","BUY",0.75,"BRK-B (Berkshire Hathaway Inc)","STOCK",332.4375,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2025-01-27T19:16:00.000Z","BUY",1,"VST (Vistra Corp)","STOCK",135.92,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2025-01-29T14:51:00.000Z","BUY",1,"AMD (Advanced Micro Devices Inc)","STOCK",115.8,"USD","Nasdaq",,,,,"XTB",,false,
"2025-02-12T08:04:00.000Z","SELL",0.067,"SXR8.DE (iShares Core S&P 500 UCITS ETF)","FUND",41.6673,"EUR","Xetra",,,,,"XTB",,false,
"2025-02-12T16:53:00.000Z","BUY",6,"HOOD (Robinhood Markets Inc)","STOCK",331.26,"USD","Nasdaq",,,,,"XTB",,false,
"2025-02-18T14:35:00.000Z","SELL",0.0004,"SXR8.DE (iShares Core S&P 500 UCITS ETF)","FUND",0.248848,"EUR","Xetra",,,,,"XTB",,false,
"2025-02-25T20:51:00.000Z","BUY",0.565,"TSLA (Tesla Inc)","STOCK",170.47745,"USD","Nasdaq",,,,,"XTB",,false,
"2025-02-27T17:59:00.000Z","BUY",0.435,"TSLA (Tesla Inc)","STOCK",125.79765,"USD","Nasdaq",,,,,"XTB",,false,
"2025-02-28T14:30:00.000Z","BUY",2,"HOOD (Robinhood Markets Inc)","STOCK",96.42,"USD","Nasdaq",,,,,"XTB",,false,
"2025-02-28T14:31:00.000Z","BUY",1,"NVDA (NVIDIA Corp)","STOCK",117.94,"USD","Nasdaq",,,,,"XTB",,false,
"2025-03-03T18:52:00.000Z","BUY",0.6,"NVDA (NVIDIA Corp)","STOCK",69.618,"USD","Nasdaq",,,,,"XTB",,false,
"2025-03-03T20:52:00.000Z","BUY",0.4,"NVDA (NVIDIA Corp)","STOCK",45.172,"USD","Nasdaq",,,,,"XTB",,false,
"2025-03-04T15:34:00.000Z","BUY",0.435,"TSLA (Tesla Inc)","STOCK",116.0406,"USD","Nasdaq",,,,,"XTB",,false,
"2025-03-04T16:09:00.000Z","BUY",0.565,"TSLA (Tesla Inc)","STOCK",148.70235,"USD","Nasdaq",,,,,"XTB",,false,
"2025-03-06T15:40:00.000Z","BUY",5,"IONQ (IonQ Inc)","STOCK",109.4,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2025-03-06T15:41:00.000Z","BUY",1,"VST (Vistra Corp)","STOCK",121.5,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2025-03-06T20:37:00.000Z","BUY",1,"PLTR (Palantir Technologies Inc)","STOCK",81.18,"USD","Nasdaq",,,,,"XTB",,false,
"2025-03-10T15:09:00.000Z","BUY",1,"TSLA (Tesla Inc)","STOCK",240.43,"USD","Nasdaq",,,,,"XTB",,false,
"2025-03-10T15:10:00.000Z","BUY",3,"HOOD (Robinhood Markets Inc)","STOCK",114.87,"USD","Nasdaq",,,,,"XTB",,false,
"2025-04-10T18:48:00.000Z","BUY",0.5,"ASML (ASML Holding NV)","STOCK",324.685,"USD","Nasdaq",,,,,"XTB",,false,
"2025-04-10T18:49:00.000Z","BUY",2,"PLTR (Palantir Technologies Inc)","STOCK",177.38,"USD","Nasdaq",,,,,"XTB",,false,
"2025-04-10T18:52:00.000Z","BUY",1,"AAPL (Apple Inc)","STOCK",190.5,"USD","Nasdaq",,,,,"XTB",,false,
"2025-04-10T18:53:00.000Z","BUY",1,"AMD (Advanced Micro Devices Inc)","STOCK",88.11,"USD","Nasdaq",,,,,"XTB",,false,
"2025-04-10T19:11:00.000Z","BUY",1,"MU (Micron Technology Inc)","STOCK",69.56,"USD","Nasdaq",,,,,"XTB",,false,
"2025-04-21T16:32:00.000Z","BUY",1,"TSLA (Tesla Inc)","STOCK",225.35,"USD","Nasdaq",,,,,"XTB",,false,
"2025-06-05T13:50:00.000Z","BUY",1,"TSLA (Tesla Inc)","STOCK",314.27,"USD","Nasdaq",,,,,"XTB",,false,
"2025-06-05T18:50:00.000Z","BUY",1,"TSLA (Tesla Inc)","STOCK",291.68,"USD","Nasdaq",,,,,"XTB",,false,
"2025-07-02T18:07:00.000Z","BUY",0.3807,"BRK-B (Berkshire Hathaway Inc)","STOCK",182.762649,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2025-07-07T14:00:00.000Z","BUY",1,"TSLA (Tesla Inc)","STOCK",291.16,"USD","Nasdaq",,,,,"XTB",,false,
"2025-07-22T17:53:00.000Z","BUY",3,"BABA (Alibaba Group Holding Ltd)","STOCK",362.34,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2025-07-22T17:54:00.000Z","BUY",0.5,"BRK-B (Berkshire Hathaway Inc)","STOCK",239.26,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2025-07-23T13:44:00.000Z","BUY",0.1618,"AAPL (Apple Inc)","STOCK",34.542682,"USD","Nasdaq",,,,,"XTB",,false,
"2025-07-23T16:25:00.000Z","BUY",0.5,"ASML (ASML Holding NV)","STOCK",355.05,"USD","Nasdaq",,,,,"XTB",,false,
"2025-07-29T16:32:51.000Z","SELL",6,"HOOD (Robinhood Markets Inc)","STOCK",634.68,"USD","Nasdaq",,,,,"XTB",,false,
"2025-07-29T16:33:13.000Z","SELL",2,"HOOD (Robinhood Markets Inc)","STOCK",211.56,"USD","Nasdaq",,,,,"XTB",,false,
"2025-07-31T19:19:13.000Z","BUY",4,"HOOD (Robinhood Markets Inc)","STOCK",412.52,"USD","Nasdaq",,,,,"XTB",,false,
"2025-08-01T14:12:49.000Z","BUY",4,"HOOD (Robinhood Markets Inc)","STOCK",383.36,"USD","Nasdaq",,,,,"XTB",,false,
"2025-08-06T19:07:36.000Z","BUY",0.6759,"DIS (Walt Disney Co/The)","STOCK",78.357087,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2025-08-14T14:29:14.000Z","BUY",2,"BABA (Alibaba Group Holding Ltd)","STOCK",244.94,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2025-08-14T14:40:48.000Z","BUY",2,"CRWV (CoreWeave Inc)","STOCK",217.9,"USD","Nasdaq",,,,,"XTB",,false,
"2025-08-15T13:34:57.000Z","BUY",1,"CRWV (CoreWeave Inc)","STOCK",98.44,"USD","Nasdaq",,,,,"XTB",,false,
"2025-08-19T13:40:23.000Z","SELL",3,"PLTR (Palantir Technologies Inc)","STOCK",502.02,"USD","Nasdaq",,,,,"XTB",,false,
"2025-09-08T19:58:00.000Z","BUY",1,"NVDA (NVIDIA Corp)","STOCK",168.24,"USD","Nasdaq",,,,,"XTB",,false,
"2025-09-17T19:57:00.000Z","BUY",1,"NVDA (NVIDIA Corp)","STOCK",170.3,"USD","Nasdaq",,,,,"XTB",,false,
"2025-09-17T19:58:00.000Z","BUY",1,"BIDU (Baidu Inc)","STOCK",137.8,"USD","Nasdaq",,,,,"XTB",,false,
"2025-09-22T13:43:00.000Z","BUY",0.25,"ASML (ASML Holding NV)","STOCK",239.955,"USD","Nasdaq",,,,,"XTB",,false,
"2025-10-15T18:48:00.000Z","BUY",7,"RGTI (Rigetti Computing Inc)","STOCK",371.28,"USD","Nasdaq",,,,,"XTB",,false,
"2025-10-16T17:05:00.000Z","BUY",2,"RGTI (Rigetti Computing Inc)","STOCK",97.38,"USD","Nasdaq",,,,,"XTB",,false,
"2025-10-21T18:32:41.000Z","BUY",2,"NVDA (NVIDIA Corp)","STOCK",362.32,"USD","Nasdaq",,,,,"XTB",,false,
"2025-10-21T19:01:00.000Z","BUY",2,"RGTI (Rigetti Computing Inc)","STOCK",79.28,"USD","Nasdaq",,,,,"XTB",,false,
"2025-10-21T19:30:00.000Z","BUY",1,"BIDU (Baidu Inc)","STOCK",119.22,"USD","Nasdaq",,,,,"XTB",,false,
"2025-10-22T16:23:00.000Z","BUY",1,"RGTI (Rigetti Computing Inc)","STOCK",35.52,"USD","Nasdaq",,,,,"XTB",,false,
"2025-10-24T19:55:00.000Z","BUY",0.5,"SPOT (Spotify Technology SA)","STOCK",323.72,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2025-10-30T19:44:00.000Z","BUY",0.35,"META (Meta Platforms Inc)","STOCK",234.1465,"USD","Nasdaq",,,,,"XTB",,false,
"2025-11-07T16:32:00.000Z","SELL",15,"IONQ (IonQ Inc)","STOCK",771,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2025-11-11T15:46:00.000Z","BUY",1,"CRWV (CoreWeave Inc)","STOCK",91.26,"USD","Nasdaq",,,,,"XTB",,false,
"2025-11-11T17:53:00.000Z","BUY",1,"RGTI (Rigetti Computing Inc)","STOCK",30.61,"USD","Nasdaq",,,,,"XTB",,false,
"2025-11-13T20:35:00.000Z","SELL",1,"MU (Micron Technology Inc)","STOCK",236.85,"USD","Nasdaq",,,,,"XTB",,false,
"2025-11-13T20:38:00.000Z","BUY",0.4,"NOW (ServiceNow Inc)","STOCK",338.988,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2025-11-13T20:42:00.000Z","BUY",5,"IONQ (IonQ Inc)","STOCK",226.65,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2025-11-13T20:45:00.000Z","BUY",1,"CRWV (CoreWeave Inc)","STOCK",78.6,"USD","Nasdaq",,,,,"XTB",,false,
"2025-11-17T17:02:00.000Z","BUY",0.41,"META (Meta Platforms Inc)","STOCK",249.3743,"USD","Nasdaq",,,,,"XTB",,false,
"2025-11-21T19:26:00.000Z","BUY",1,"MU (Micron Technology Inc)","STOCK",211.55,"USD","Nasdaq",,,,,"XTB",,false,
"2025-11-21T19:27:00.000Z","BUY",3,"AMD (Advanced Micro Devices Inc)","STOCK",621.66,"USD","Nasdaq",,,,,"XTB",,false,
"2025-11-21T19:36:00.000Z","BUY",2,"SAP (SAP SE)","STOCK",476.48,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2025-12-05T14:48:00.000Z","BUY",0.5,"SPOT (Spotify Technology SA)","STOCK",285.095,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2025-12-05T17:03:00.000Z","BUY",1,"BIDU (Baidu Inc)","STOCK",125.53,"USD","Nasdaq",,,,,"XTB",,false,
"2025-12-18T14:26:00.000Z","SELL",0.4,"NOW (ServiceNow Inc)","STOCK",312.96,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2026-01-05T20:02:00.000Z","BUY",2,"NOW (ServiceNow Inc)","STOCK",295.12,"USD","New York Stock Exchange",,,,,"XTB",,false,
