"Date","Way","Base amount","Base currency (name)","Base type","Quote amount","Quote currency","Exchange","Sent/Received from","Sent to","Fee amount","Fee currency (name)","Broker","Notes","Sync Base Holding","Leverage Metadata"
"2021-01-11T17:55:00.000Z","BUY",1,"NXPI (NXP Semiconductors NV)","STOCK",174,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2021-02-05T14:33:00.000Z","SELL",1,"NOW (ServiceNow Inc)","STOCK",590,"USD","New York Stock Exchange",,,7.98,"USD","Fio",,false,
"2021-02-11T15:56:00.000Z","SELL",2,"TSM (Taiwan Semiconductor Manufacturing Co Ltd)","STOCK",274,"USD","New York Stock Exchange",,,7.97,"USD","Fio",,false,
"2021-02-16T14:30:00.000Z","SELL",2,"MU (Micron Technology Inc)","STOCK",178,"USD","Nasdaq",,,7.97,"USD","Fio",,false,
"2021-03-08T19:15:00.000Z","SELL",1,"DIS (Walt Disney Co/The)","STOCK",200,"USD","New York Stock Exchange",,,7.97,"USD","Fio",,false,
"2021-03-16T16:00:00.000Z","BUY",14,"FTCV (Fintech Acquisition Corp V)","STOCK",195.72,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2021-05-12T14:55:00.000Z","BUY",1,"TSLA (Tesla Inc)","STOCK",600,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2021-07-16T13:30:00.000Z","SELL",1,"V (Visa Inc)","STOCK",250,"USD","New York Stock Exchange",,,7.97,"USD","Fio",,false,
"2021-08-17T13:30:00.000Z","BUY",7,"HOOD (Robinhood Markets Inc)","STOCK",331.1,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2021-08-20T15:10:00.000Z","BUY",7,"HOOD (Robinhood Markets Inc)","STOCK",299.53,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2021-10-18T13:46:00.000Z","BUY",4,"CPNG (Coupang Inc)","STOCK",109.04,"USD","New York Stock Exchange",,,7.95,"USD","Fio",,false,
"2021-10-22T13:30:00.000Z","BUY",4,"INTC (Intel Corp)","STOCK",200,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2021-11-01T13:30:00.000Z","BUY",3,"PLUG (Plug Power Inc)","STOCK",118.71,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2021-11-02T13:30:00.000Z","SELL",1,"NVDA (NVIDIA Corp)","STOCK",260,"USD","Nasdaq",,,7.97,"USD","Fio",,false,
"2021-11-11T16:01:00.000Z","BUY",2,"BYND (Beyond Meat Inc)","STOCK",158.35,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2021-11-11T16:04:00.000Z","BUY",1,"RIVN (Rivian Automotive Inc)","STOCK",119.76,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2021-11-18T14:32:00.000Z","BUY",3,"SSM (Sono Group NV)","STOCK",133.08,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2021-11-18T15:34:00.000Z","BUY",3,"SSM (Sono Group NV)","STOCK",100.23,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2021-11-18T19:48:00.000Z","BUY",3,"SSM (Sono Group NV)","STOCK",86.6499999,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2021-11-22T14:30:00.000Z","BUY",1,"QQQM (Invesco Nasdaq 100 ETF)","FUND",166.82,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
